code,product_name,brands,main_category,categories,labels_tags,allergens,ingredients_text,sugars_100g,lactose_100g,polyols_100g,caffeine_100g,nutriscore_grade,nova_group,url,image_url,axes_sensibles,substitution_group,reason
0041570109106,Rice Cracker Snacks with Almonds,Blue Diamond Almonds,en:proposed-for-deletion,"Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers(Appetizers),Empty,Proposed-for-deletion","en:no-gluten,en:no-gmos,en:certified-gluten-free,en:non-gmo-project","en:milk,en:nuts,en:sesame-seeds","brown rice flour, almonds, brown rice, potato starch, sorghum flour, sesame seeds, millet, flax seeds, sea salt, quinoa seeds, safflower oil, black sesame seeds, amaranth seeds, natural flavors (contains milk),",0,,,0,b,4,http://world-en.openfoodfacts.org/product/0041570109106/rice-cracker-snacks-with-almonds-blue-diamond-almonds,https://images.openfoodfacts.org/images/products/004/157/010/9106/front_en.39.400.jpg,gluten|lactose,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
9335805000018,Peanut Protein Ball,Bounce,en:protein-balls,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Snacks,Légumineuses,Snacks sucrés,Fruits à coques et dérivés,Fruits à coques,Compléments alimentaires,Compléments pour le Bodybuilding,Cacahuètes,Barres protéinées,en:Protein balls","en:no-gluten,en:australian-made","en:peanuts,en:sesame-seeds","peanuts (34%), brown rice malts syrup, whey proteinisolate (from milk) (16%), concentrated grape juice, gluten free grain dextrins (from brown rice), whey protein concentrate (from milk) (5%), tapioca starch, water, whey protein hydrolysate (from milk) (1,5%), vanilla extract, sea salt, antioxidant (natural mixed tocopherols), sesame seeds, stabiliser (calcium carbonate), emulsifier (sunflower lecithin), for allergens see ingredients in bold, may contain traces of almonds, cashews, macadamias, pecans, walnuts and soya, good manufacturing processes are used to segregate ingredients in a facility that processes other products containing nuts, gluten free in accordance with eu regulation 828/2014, made with non-gmo ingredients, no artik preservatives, may contain fragments of nut shell,",25.5,,,,not-applicable,4,http://world-en.openfoodfacts.org/product/9335805000018/peanut-protein-ball-bounce,https://images.openfoodfacts.org/images/products/933/580/500/0018/front_en.29.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3770009699402,Barre protéinée,Biofair Nutrition,en:protein-bars,"Aliments et boissons à base de végétaux, Snacks, Snacks sucrés, Plats préparés, Barres, Compléments alimentaires, Substituts de repas, Compléments pour le Bodybuilding, Barres protéinées","en:no-gluten,en:organic,en:eu-organic,en:non-eu-agriculture,en:source-of-fibre,en:source-of-proteins,en:eu-agriculture,en:eu-non-eu-agriculture,en:fr-bio-01,en:high-fibres,en:high-proteins,fr:ab-agriculture-biologique,fr:sachet-biodegradable","en:milk,en:nuts","purée de _noisettes_*,protéine de _lait_*,sirop d'agave*, farine de coco*, poudre de cacao* (6,5%), huile de coco*.  *Produits issus de l'agriculture biologique.",19.4,,,,not-applicable,4,http://world-en.openfoodfacts.org/product/3770009699402/barre-proteinee-biofair-nutrition,https://images.openfoodfacts.org/images/products/377/000/969/9402/front_fr.12.400.jpg,gluten|lactose|sucre,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
6111126005719,Sport,Chergui,en:protein-shakes,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Laits (fluide et poudre),Desserts lactés fermentés,Laits,Yaourts,Compléments alimentaires,Compléments pour le Bodybuilding,Desserts lactés fermentés aromatisés,Yaourts aromatisés,Boisson protéinée","en:green-dot,en:no-lactose","en:gluten,en:milk","حليب, دسم, بروتين حليبي, بروتين لاكتوسيروم, نشا, قمح, سكر, نكهة الموز, محلي, سيكلامات, أسبرتام, أسيزولفام, خمائر حليبية",4.4,,,,not-applicable,4,http://world-en.openfoodfacts.org/product/6111126005719/sport-chergui,https://images.openfoodfacts.org/images/products/611/112/600/5719/front_fr.3.400.jpg,gluten|lactose,lactose_free_dairy_or_alt,labels_tags indique sans lactose ou catégorie substitut laitier
8436039431539,Provolone,"Flor De Burgos, Miraflores",en:provolone,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Provolone","en:no-gluten,en:green-dot",,,0,,,,e,,http://world-en.openfoodfacts.org/product/8436039431539/provolone-flor-de-burgos,https://images.openfoodfacts.org/images/products/843/603/943/1539/front_fr.13.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3250392543679,Pj pruneaux bio brique 75cl,Paquito,en:prune-juices,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus de pruneaux","en:organic,en:eu-organic,en:non-eu-agriculture,en:eu-agriculture,en:eu-non-eu-agriculture,en:fr-bio-01,en:no-added-sugar,fr:ab-agriculture-biologique",,Jus de pruneau ** obtenu par extraction hydrique. ** ingrédient issu de l'agriculture biologique,14,,,,e,,http://world-en.openfoodfacts.org/product/3250392543679/pj-pruneaux-bio-brique-75cl-paquito,https://images.openfoodfacts.org/images/products/325/039/254/3679/front_fr.45.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej
3760091727404,Puree de pruneaux,"Ethiquable, Paysans d'Ici",en:prune-purees,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Petit-déjeuners,Desserts,Fruits et produits dérivés,Compotes,Purée de fruits sans sucres ajoutés,Purées de pruneaux","en:fair-trade,en:organic,en:eu-organic,en:no-preservatives,en:fair-trade-organic,en:made-in-france,en:no-added-sugar,fr:ab-agriculture-biologique,fr:bio-equitable-en-france,fr:agriculture-paysanne",,"pruneaux*, eau. *issus de l'agriculture biologique et du commerce équitable",20,,,,c,1,http://world-en.openfoodfacts.org/product/3760091727404/puree-de-pruneaux-ethiquable,https://images.openfoodfacts.org/images/products/376/009/172/7404/front_fr.42.400.jpg,sucre,low_sugar_snacks_breakfast,signal sucre (labels ou nutriments) + catégorie snack/petit-dej
5765228111413,Psyllium,Urtekram,en:psyllium,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aides culinaires, Psyllium","en:no-gluten,en:organic,en:eu-organic",,,,,,,unknown,,http://world-en.openfoodfacts.org/product/5765228111413/psyllium-urtekram,https://images.openfoodfacts.org/images/products/576/522/811/1413/front_fr.3.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
3531150900348,Pâte feuilletée sans gluten,BioBleud,en:puff-pastry-sheets,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes à tarte, Pâtes feuilletées",en:no-gluten,,,,,,,unknown,,http://world-en.openfoodfacts.org/product/3531150900348/pate-feuilletee-sans-gluten-biobleud,https://images.openfoodfacts.org/images/products/353/115/090/0348/front_fr.3.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
5060195908661,Pate feuilletee sans gluten,Genius,en:puff-pastry-with-vegetable-fat,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes à tarte,Pâtes feuilletées,Pâte feuilletée à la matière grasse végétale",en:no-gluten,,,0.1,,,,d,,http://world-en.openfoodfacts.org/product/5060195908661/pate-feuilletee-sans-gluten-genius,https://images.openfoodfacts.org/images/products/506/019/590/8661/front_fr.4.400.jpg,gluten,gluten_free_breads_pasta,labels_tags indique sans gluten / catégorie sans gluten
